Entity Name,Entity Description,Attribute Name,Attribute Description,Logical Data Type,Table Name ,Column Name,Physical Data Type,Null Option,Release,Is PK-FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Customer Group Identifier,Used to identify whether the record belongs to Group Consumer or Group Enterprise.,INTEGER,ACCT,CUST_GRP_ID,NUMBER(9),Not Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Customer Key,Generated Key based on Customer Id + Source System Code,BIGINT,ACCT,CUST_KEY,Number(18),Not Null,R1+R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Customer Type Key,Generated Key on the basis of customer type objid and customer sub type objid and Source System Code,INTEGER,ACCT,CUST_TYPE_KEY,NUMBER(10),Null,R1,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Document Type Indicator,"The type of invoice document received by the customer. 
Valid values: 
I - Invoice Receiver 
B - Bill Receiver",VARCHAR(15),ACCT,DOC_TYPE_IND,VARCHAR2(15),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Eca Flag,Exceptional Account Ind - exception during batch payment,CHAR(1),ACCT,ECA_FLG,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Final Bill Creation Timestamp,Date of final bill of the account.,TIMESTAMP(6),ACCT,FNL_BILL_CRTE_TS,TIMESTAMP(6),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Final Bill Extract Date,This is the Final Invoice “Bill Date” (The Final invoice is the one signed with Production Type = FN normally produced after the customer is cancelled.,DATE,ACCT,FNL_BILL_XTRC_DT,DATE,Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Fraud Management Flag,Fraud Management Flag,CHAR(1),ACCT,FRAD_MNGE_FLG,VARCHAR2(15),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",First Bill Payment Flag,Bill payment done after the creation of First Invoice,CHAR(1),ACCT,FRST_BILL_PAY_FLG,VARCHAR2(15),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Kenan Account Status,Status from Kenan Billing System,VARCHAR(15),ACCT,KENN_ACCT_STTS,VARCHAR2(15),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Last Collection Communication Timestamp,Date of last collection activity of the account with 'activity code'='CUSTOMER_COMMUNICATION',TIMESTAMP(6),ACCT,LAST_CLCT_CMCT_TS,TIMESTAMP(6),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Last Collection Pre Bar Timestamp,Last Collection Pre Bar Timestamp,TIMESTAMP(6),ACCT,LAST_CLCT_PRE_BAR_TS,TIMESTAMP(6),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Last Payment Amount,The amount of the last payment  made for the account,"DECIMAL(18,2)",ACCT,LAST_PAY_AMT,"NUMBER(18,2)",Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Last Payment Timestamp,The date when the last payment was made for the account,TIMESTAMP(6),ACCT,LAST_PAY_TS,TIMESTAMP(6),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Late Payment Fee Waive Flag,"Defines if a late payment fees should be calculated for this account or if the account is waived from late payment fees. 
Valid values: 
N - The account is waived from late payment fees 
Y - Late payment fees can be incurred for the account.",CHAR(1),ACCT,LPF_WAIV_FLG,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Migration Timestamp,Migration Date,TIMESTAMP(6),ACCT,MGRT_TS,TIMESTAMP(6),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Market Code Key,"Generated key based on Owning Cost Center Id,Language Code, Tenant ID and Customer Group ID",INTEGER,ACCT,MKT_CODE_KEY,NUMBER(10),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Mobile Fraud Flag,Mobile Fraud Flag,CHAR(1),ACCT,MOBL_FRAD_FLG,VARCHAR2(15),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Msbs Representative Key,Generated Key in EDW,INTEGER,ACCT,MSBS_REPR_KEY,NUMERIC(18),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Nba Customer Key,EDW generated key,INTEGER,ACCT,NBA_CUST_KEY,NUMERIC(18),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Nba Customer Source Identifier,Nba Customer Source Identifier,DECIMAL(18),ACCT,NBA_CUST_SRCE_ID,NUMBER(18),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",No Payment Flag,Indicates whether payment ( payment amount > configured amount) is done on the account or not. Valid values - Y/N,CHAR(1),ACCT,NO_PAY_FLG,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Owning Cost Center Key,"Generated key based on Owning Cost Center Id,Language Code, Tenant ID and Customer Group ID",INTEGER,ACCT,OWN_COST_CNTR_KEY,NUMBER(10),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Pay Channel Key,Generated Key based on Pay Channel Id + Source System Code,BIGINT,ACCT,PAY_CHNL_KEY,NUMBER(18),Null,R1,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Product Line Of Business Group Identifier,"Product Line of Business Group - 'Mobile', 'Fixed', 'Both' based on the product line of the related subscribers",VARCHAR(255),ACCT,PROD_LINE_OF_BSNS_GRP_ID,VARCHAR2(255),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Rate Class Indicator,Rate Class Indicator,DECIMAL(1),ACCT,RATE_CLSS_IND,DECIMAL(1),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Stop Collection Notification Flag,Y/N indicator for stopping collection notification (SMS),CHAR(1),ACCT,STOP_CLCT_NOTE_FLG,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Suspension Type Indicator,"Represents the different sanctions that are applied on a specific account in case of collection issues.

Example Values
ALL - ALL 
INCO - INCOMING 
INTL - INTERNATIONAL 
OUTG - OUTGOING",VARCHAR(15),ACCT,SUSP_TYPE_IND,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Vip Code,FA level VIP code for collection evaluation process,VARCHAR(60),ACCT,VIP_CD,VARCHAR2(60),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Waive Collection Date,Waive Collection Date,DATE,ACCT,WAIV_CLCT_DT,DATE,Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Waiver Expiration Timestamp,Expiration date of the waver flag,TIMESTAMP(6),ACCT,WAIV_XPIR_TS,TIMESTAMP(6),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Write Off Indicator,"Indicates whether the account is written off. 
Valid values: 
R - Normal 
W - Written-Off",NUMBER(10),ACCT,WRIT_OFF_IND,NUMBER(10),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Exchange Rate Class Code,Exchange Rate Class Code,SMALLINT,ACCT,XCHG_RATE_CLSS_CD,NUMBER(4),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",External Identifier,migrated id,VARCHAR(255),ACCT,XTRN_ID,VARCHAR2(255),Null,R1,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Account Assigned Charge Master Identifier,NK of this table. Internal CMF product instance,DECIMAL(18),ACCT_ASSG_CHRG_MSTR,ACCT_ASSG_CHRG_MSTR_ID,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Account Assigned Charge Master Key,Surrogate Key generated in New EDW,INTEGER,ACCT_ASSG_CHRG_MSTR,ACCT_ASSG_CHRG_MSTR_KEY,NUMBER(10),Not Null,R2,PK
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Alacarte Indicator,Alacarte Indicator,VARCHAR(15),ACCT_ASSG_CHRG_MSTR,ALCT_IND,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Assigned Charge Identifier,Account level Assigned Recurring chare Identifier,DECIMAL(18),ACCT_ASSG_CHRG_MSTR,ASSG_CHRG_ID,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Assigned Charge Server Identifier,Account level Assigned Recurring chare server Identifier,INTEGER,ACCT_ASSG_CHRG_MSTR,ASSG_CHRG_SERV_ID,NUMBER(9),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Assigned Product Idendtifier,Assigned Product Idendtifier,DECIMAL(18),ACCT_ASSG_CHRG_MSTR,ASSG_PROD_idendtifier,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Billing Charge Identifier,A unique identifier of the charge.,DECIMAL(18),ACCT_ASSG_CHRG_MSTR,BILL_CHRG_ID,NUMBER(18),Null,R1+R2,FK
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Billing Cycle Identifier,Account Level billing cycle for the recurring charge (RC),VARCHAR(15),ACCT_ASSG_CHRG_MSTR,BILL_CYCL_ID,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Bill Frequency,Bill Frequency,VARCHAR(15),ACCT_ASSG_CHRG_MSTR,BILL_FREQ,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Billing Offer Key,GK on Billing Offer Id + Source System Code,BIGINT,ACCT_ASSG_CHRG_MSTR,BILL_OFFR_KEY,NUMBER(18),Null,R1+R2,FK
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Charge Code Identifier,Account level RC charge code identifier,DECIMAL(18),ACCT_ASSG_CHRG_MSTR,CHRG_CODE_ID,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Charge Code Key,GK on Charge Code Id+Source System Code,INTEGER,ACCT_ASSG_CHRG_MSTR,CHRG_CODE_KEY,NUMBER(10),Null,R1+R2,FK
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Contract Duration,Duration of the RC contract,INTEGER,ACCT_ASSG_CHRG_MSTR,CNTC_DUR,NUMBER(9),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Customer Group Identifier,to identify record belong to group consumer or group enterprise,INTEGER,ACCT_ASSG_CHRG_MSTR,CUST_GRP_ID,NUMBER(9),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Duration Units,Contract duration units,INTEGER,ACCT_ASSG_CHRG_MSTR,DUR_UNIT,NUMBER(9),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Last Update Date,last update date of this record,DATE,ACCT_ASSG_CHRG_MSTR,LAST_UPDT_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Last Update Employee Identifier,Last Update Employee Identifier,VARCHAR(60),ACCT_ASSG_CHRG_MSTR,LAST_UPDT_EMPL_ID,VARCHAR2(60),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Manual Override Indicator,Manual Override Indicator,VARCHAR(15),ACCT_ASSG_CHRG_MSTR,MANL_OVRD_IND,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Order Action Key,GK Based on Order Action Id + Source System Code,BIGINT,ACCT_ASSG_CHRG_MSTR,ORD_ACTN_KEY,NUMBER(18),Null,R1+R2,FK
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Product Effective Date,Account Level Product Effective date,DATE,ACCT_ASSG_CHRG_MSTR,PROD_EFFT_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Product Expired Date,Account level product expired date,DATE,ACCT_ASSG_CHRG_MSTR,PROD_XPIR_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Rc Bill Product Action Identifier,Bill product action for account level RC,VARCHAR(15),ACCT_ASSG_CHRG_MSTR,RC_BILL_PROD_ACTN_ID,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Rc Bill Transaction Status Identifier,Bill product transaction status for account level RC,VARCHAR(15),ACCT_ASSG_CHRG_MSTR,RC_BILL_TRAN_STTS_ID,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Rc Effective Date,Account level Recurring Charge effective date,DATE,ACCT_ASSG_CHRG_MSTR,RC_EFFT_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Master,This table contains the RC initiated by work Order for Financial Accounts from ECOM,Recontract Date,Recontract Date,DATE,ACCT_ASSG_CHRG_MSTR,RCCT_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Account Assigned Charge Master Identifier,Account Assigned Charge Master Identifier,DECIMAL(18),ACCT_ASSG_CHRG_OVRD,ACCT_ASSG_CHRG_MSTR_ID,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Account Assigned Charge Master Key,Surrogate Key generated in New EDW,INTEGER,ACCT_ASSG_CHRG_OVRD,ACCT_ASSG_CHRG_MSTR_KEY,NUMBER(10),Not Null,R2,PK/FK
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Assigned Product Idendtifier,Assigned Product Idendtifier,DECIMAL(18),ACCT_ASSG_CHRG_OVRD,ASSG_PROD_idendtifier,NUMBER(18),Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Currency Key,GK Based on CURRENCY Id+Source System Code,INTEGER,ACCT_ASSG_CHRG_OVRD,CRCY_KEY,NUMBER(10),Null,R1+R2,FK
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Customer Group Identifier,Identify record belongs to Group Consumer (GC) or Group Enterprise (GE),INTEGER,ACCT_ASSG_CHRG_OVRD,CUST_GRP_ID,NUMBER(9),Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Last Update Date,Last Update Date,DATE,ACCT_ASSG_CHRG_OVRD,LAST_UPDT_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Last Update Employee Identifier,Last Update Employee Identifier,VARCHAR(60),ACCT_ASSG_CHRG_OVRD,LAST_UPDT_EMPL_ID,VARCHAR2(60),Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Override End Date,Override End Date,DATE,ACCT_ASSG_CHRG_OVRD,OVRD_END_DT,DATE,Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Override Rate Amount,Override Rate Amount,"DECIMAL(18,2)",ACCT_ASSG_CHRG_OVRD,OVRD_RATE_AMT,"NUMBER(18,2)",Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Override Start Date,Override Start Date,DATE,ACCT_ASSG_CHRG_OVRD,OVRD_STRT_DT,DATE,Not Null,R2,PK
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Rc Rate Bill Product Action Identifier,Rc Rate Bill Product Action Identifier,VARCHAR(15),ACCT_ASSG_CHRG_OVRD,RC_RATE_BILL_PROD_ACTN_ID,VARCHAR2(15),Null,R2,Non-Key
Account Assigned Charge Override,[R2 project]: This table contains the RC overrides initiated by work Order for Financial Accounts from ECOM,Rc Rate Bill Transaction Status Identifier,Rc Rate Bill Transaction Status Identifier,VARCHAR(15),ACCT_ASSG_CHRG_OVRD,RC_RATE_BILL_TRAN_STTS_ID,VARCHAR2(15),Null,R2,Non-Key
Account Contact Rel,"This Entity represents a 3 way relationship between Account , Contact  and Addresses


The Contact and Address Main Source is CRM while Account is from BILLING.

integration between the systems will be done with the BILLING entity ID which is equal to the CRM Account (=fin_accnt) ID.",Account Contact Rel Key,Generated Key based on Account Contact Source Id + Source System Code,BIGINT,ACCT_CTCT_REL,ACCT_CTCT_REL_KEY,NUMBER(18),Not Null,R1+R2,PK
